# Epic Pathfinder Handbook v1.6 - Epic Summoning Feats
# Table 5-13 and pages 100-102

Assemble Summons	CATEGORY:FEAT	TYPE:Epic.Summoning	PREABILITY:1,CATEGORY=Special Ability,TYPE.SummonMonster	DESC:Keep a second instance of summon monster or gate active simultaneously.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Enhanced Summoning	CATEGORY:FEAT	TYPE:Epic.Summoning	PRESTAT:1,CHA=21	PREABILITY:1,CATEGORY=Special Ability,TYPE.SummonMonster	DESC:Add more creatures to summon monster list and summon less powerful monsters more easily.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Epic Eidolon	CATEGORY:FEAT	TYPE:Epic.Summoning	PREABILITY:1,CATEGORY=Special Ability,TYPE.TwinEidolon	DESC:Select from epic Eidolon evolutions.	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Empower Eidolon	CATEGORY:FEAT	TYPE:Epic.Summoning	PREABILITY:1,CATEGORY=FEAT,Epic Eidolon	DESC:Eidolon's evolution point pool increases by 3.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Prolonged Summons	CATEGORY:FEAT	TYPE:Epic.Summoning	PREABILITY:1,CATEGORY=Special Ability,TYPE.SummonMonster	DESC:Summoned creatures remain longer.	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Summon Companion	CATEGORY:FEAT	TYPE:Epic.Summoning	PRESTAT:1,CHA=21	PREABILITY:1,CATEGORY=FEAT,Prolonged Summons	DESC:Once per day, summoned creature(s) remain until dismissed.	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Summoning Perfection	CATEGORY:FEAT	TYPE:Epic.Summoning	PRESTAT:1,CHA=23	PREABILITY:1,CATEGORY=Special Ability,TYPE.SummonMonster	DESC:Summoned creatures gain the Advanced template.	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Chivalric Summoning	CATEGORY:FEAT	TYPE:Epic.Summoning	PRESTAT:1,CHA=25	PREABILITY:1,CATEGORY=FEAT,Summoning Perfection	DESC:Summoned creatures gain the Resolute template.	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Colossal Summoning	CATEGORY:FEAT	TYPE:Epic.Summoning	PRESTAT:1,CHA=25	PREABILITY:1,CATEGORY=FEAT,Summoning Perfection	DESC:Summoned creatures gain the Giant template.	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Draconic Summoning	CATEGORY:FEAT	TYPE:Epic.Summoning	PRESTAT:1,CHA=27	PREABILITY:1,CATEGORY=FEAT,Colossal Summoning	DESC:Summoned creatures gain the Half-Dragon template.	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Ebon Summoning	CATEGORY:FEAT	TYPE:Epic.Summoning	PRESTAT:1,CHA=25	PREABILITY:1,CATEGORY=FEAT,Summoning Perfection	DESC:Summoned creatures gain the Shadow Creature template.	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Devilish Summoning	CATEGORY:FEAT	TYPE:Epic.Summoning	PRESTAT:1,CHA=27	PREABILITY:1,CATEGORY=FEAT,Ebon Summoning	DESC:Summoned creatures gain the Half-Fiend template.	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Guardian Summoning	CATEGORY:FEAT	TYPE:Epic.Summoning	PRESTAT:1,CHA=25	PREABILITY:1,CATEGORY=FEAT,Summoning Perfection	DESC:Summoned creatures gain the Foo Creature template.	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Divine Summoning	CATEGORY:FEAT	TYPE:Epic.Summoning	PRESTAT:1,CHA=27	PREABILITY:1,CATEGORY=FEAT,Guardian Summoning	DESC:Summoned creatures gain the Half-Celestial template.	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
Sylvan Summoning	CATEGORY:FEAT	TYPE:Epic.Summoning	PRESTAT:1,CHA=25	PREABILITY:1,CATEGORY=FEAT,Summoning Perfection	DESC:Summoned creatures gain the Fey Creature template.	SOURCELONG:Epic Pathfinder Handbook v1.6	SOURCESHORT:EPH	SOURCEPAGE:p.100
